human,rat,mouse
GBE1,Gbe1,Gbe1
MORC4,Morc4,Morc4
ITPRIP,Itprip,Itprip
RPEL1,Rpe,Rpe
CUTA,Cuta,Cuta
RNF39,Rnf39,Rnf39
CLUH,Cluh,Cluh
INPPL1,Inppl1,Inppl1
PHF1,Phf1,Phf1
C3orf38,MGC95208,4930453N24Rik
LIG3,Lig3,Lig3
HPS1,Hps1,Hps1
MCIDAS,Mcidas,Mcidas
MT-ND1,Mt-nd1,mt-Nd1
DUX4,Dux4,Duxbl1
NCL,Ncl,Ncl
IGSF10,Igsf10,Igsf10
MT-ATP6,Mt-atp6,mt-Atp6
,Cphx1,Cphx1
MRPS14,Mrps14,Mrps14
MT-CO2,Mt-co2,mt-Co2
ATF4,Atf4,Atf4
RAB24,Mxd3,Rab24
RAB24,Mxd3,Rab24
PIFO,Pifo,Pifo
GSTO1,Gsto1,Gsto1
CCDC83,Ccdc83,Ccdc83
BARX1,Barx1,Barx1
USP20,Usp20,Usp20
CLDN10,Cldn10,Cldn10
CNKSR3,Cnksr3,Cnksr3
NEURL1,Neurl1,Neurl1a
SMCO1,Smco1,Smco1
SMCO1,Smco1,Smco1
TRIM31,Trim31,Trim31
ADAM11,Adam11,Adam11
LANCL1,Lancl1,NA
CFAP58,Cfap58,Cfap58
CFAP58,Cfap58l1,Cfap58
MT-ND3,Mt-nd3,mt-Nd3
ARID1B,Arid1b,Arid1b
NADK2,Nadk2,Nadk2
MT-CO3,Mt-co3,mt-Co3
ROBO2,Robo2,Robo2
TAB1,Tab1,Tab1
MT-ND4,Mt-nd4,mt-Nd4
DZIP1,Dzip1,Dzip1
SERPINA7,Serpina7,Serpina7
GSTO2,Gsto2,Gsto2
GSTO2,LOC103690044,Gsto2
GSTO2,LOC103690044,Gsto2
MGAT3,Mgat3,Mgat3
MT-ND5,Mt-nd5,mt-Nd5
RANBP3L,AABR07008439.1,Ranbp3l
TRIM40,Trim40,Trim40
RMDN2,Rmdn2,Rmdn2
CHAT,Chat,Chat
MT-ND4L,Mt-nd4l,mt-Nd4l
MT-ATP8,Mt-atp8,mt-Atp8
ANXA11,Anxa11,Anxa11
SEMA4D,Sema4d,Sema4d
MT-CYB,Mt-cyb,mt-Cytb
GTF2I,Gtf2i,Gtf2i
MT-ND2,Mt-nd2,mt-Nd2
DNLZ,Dnlz,Dnlz
ABCG2,Abcg3l1,Abcg3
GPR180,Gpr180,Gpr180
GJC1,Gjc1,Gjc1
ARL5A,Arl5a,Arl5a
TNN,Tnn,Tnn
EFNB1,Efnb1,Efnb1
SPP1,Spp1,Spp1
PPP1R11,Ppp1r11,Ppp1r11
SLC18A3,Slc18a3,Slc18a3
GNB1L,Gnb1l,Gnb1l
ZNF800,Zfp800,Zfp800
HIGD1B,Higd1b,Higd1b
GRM8,Grm8,Grm8
PLAC9,Plac9,Plac9a
RPE,Rpe,Rpe
SYNGAP1,Syngap1,Syngap1
C9orf78,RGD1305178,BC005624
C10orf53,LOC680885,1700024G13Rik
MT-ND6,Mt-nd6,mt-Nd6
MT-CO1,Mt-co1,mt-Co1
CLDN2,Cldn2,Cldn2
CDC16,Cdc16,Cdc16
STARD8,Stard8,Stard8
TLK1,LOC103690017,Tlk1
TLK1,LOC103690017,Tlk1
UPF3A,Upf3a,Upf3a
NRK,Nrk,Nrk
METTL8,AABR07052486.1,Mettl8
GNL1,Gnl1,Gnl1
,Cnksr3,Cnksr3
CYP1B1,Cyp1b1,Cyp1b1
MARF1,LOC103689943,Marf1
KIFC1,Kifc1,Kifc5b
KIFC1,Kifc1,Kifc1
